Time,Year,Month,Date,Hour,Day,AceticAcidDerivatives,PropionicAcidDerivatives,SalicylicAcidDerivatives,PyrazolonesAndAnilides,AnxiolyticDrugs,HypnoticsSndSedativesDrugs,ObstructiveAirwayDrugs,Antihistamines
01-04-2014 19:00,2014,4,1,19,Saturday,0,0,3,9,0,0,4,1
01-04-2014 20:00,2014,4,1,20,Saturday,0,0,0,0.6,3,0,0,0
01-04-2014 21:00,2014,4,1,21,Saturday,0,0,0,0,0,0,0,0
01-04-2014 22:00,2014,4,1,22,Saturday,0,0,0,0,0,0,0,0
01-04-2014 23:00,2014,4,1,23,Saturday,0,0,0,0,0,0,0,0
01-05-2014 00:00,2014,5,1,0,Sunday,0,0,0,0,0,0,0,0
01-05-2014 01:00,2014,5,1,1,Sunday,0,0,0,0,0,0,0,0
01-05-2014 02:00,2014,5,1,2,Sunday,0,0,0,0,0,0,0,0
01-05-2014 03:00,2014,5,1,3,Sunday,0,0,0,0,0,0,0,0
01-05-2014 04:00,2014,5,1,4,Sunday,0,0,0,0,0,0,0,0
01-05-2014 05:00,2014,5,1,5,Sunday,0,0,0,0,0,0,0,0
01-05-2014 06:00,2014,5,1,6,Sunday,0,0,0,0,0,0,0,0
01-05-2014 07:00,2014,5,1,7,Sunday,0,0,0,0,0,0,0,0
01-05-2014 08:00,2014,5,1,8,Sunday,1,0,1,3,0,0,0,0
01-05-2014 09:00,2014,5,1,9,Sunday,0,0,1,5.2,2,0,0,0
01-05-2014 10:00,2014,5,1,10,Sunday,0,0,0,4,0,0,0,0
01-05-2014 11:00,2014,5,1,11,Sunday,0,0,0,4,1,0,3,0
01-05-2014 12:00,2014,5,1,12,Sunday,1,2,2,12.9,3,0,0,0
01-05-2014 13:00,2014,5,1,13,Sunday,2,1,3,12,2,0,0,0
01-05-2014 14:00,2014,5,1,14,Sunday,0,0,0,0,0,0,0,0
01-05-2014 15:00,2014,5,1,15,Sunday,0,0,0,0,0,0,0,0
01-05-2014 16:00,2014,5,1,16,Sunday,0,0,0,0,0,0,0,0
01-05-2014 17:00,2014,5,1,17,Sunday,0,0,0,0,0,0,0,0
01-05-2014 18:00,2014,5,1,18,Sunday,0,0,0,0,0,0,0,0
01-05-2014 19:00,2014,5,1,19,Sunday,0,0,0,0,0,0,0,0
01-05-2014 20:00,2014,5,1,20,Sunday,0,0,0,0,0,0,0,0
01-05-2014 21:00,2014,5,1,21,Sunday,0,0,0,0,0,0,0,0
01-05-2014 22:00,2014,5,1,22,Sunday,0,0,0,0,0,0,0,0
01-05-2014 23:00,2014,5,1,23,Sunday,0,0,0,0,0,0,0,0
01-06-2014 00:00,2014,6,1,0,Monday,0,0,0,0,0,0,0,0
01-06-2014 01:00,2014,6,1,1,Monday,0,0,0,0,0,0,0,0
01-06-2014 02:00,2014,6,1,2,Monday,0,0,0,0,0,0,0,0
01-06-2014 03:00,2014,6,1,3,Monday,0,0,0,0,0,0,0,0
01-06-2014 04:00,2014,6,1,4,Monday,0,0,0,0,0,0,0,0
01-06-2014 05:00,2014,6,1,5,Monday,0,0,0,0,0,0,0,0
01-06-2014 06:00,2014,6,1,6,Monday,0,0,0,0,0,0,0,0
01-06-2014 07:00,2014,6,1,7,Monday,0,0,0,0,0,0,0,0
01-06-2014 08:00,2014,6,1,8,Monday,0,0,0,1.4,1,0,0,0
01-06-2014 09:00,2014,6,1,9,Monday,0,0,2,1,2,0,0,1
01-06-2014 10:00,2014,6,1,10,Monday,0,0,1,0.3,0,0,3,0
01-06-2014 11:00,2014,6,1,11,Monday,0,0,1,3,4,0,0,0
01-06-2014 12:00,2014,6,1,12,Monday,1,0,0,3,2,0,3,0
01-06-2014 13:00,2014,6,1,13,Monday,1,0,0,8,1,2,0,1
01-06-2014 14:00,2014,6,1,14,Monday,2,1,0,0,2,0,0,0
01-06-2014 15:00,2014,6,1,15,Monday,1,0,0,3,3,0,0,0
01-06-2014 16:00,2014,6,1,16,Monday,0,0,0.5,0,0,0,0,0
01-06-2014 17:00,2014,6,1,17,Monday,0,0,0,2,1,0,0,0
01-06-2014 18:00,2014,6,1,18,Monday,0,0,0,0,0,0,0,0
01-06-2014 19:00,2014,6,1,19,Monday,0,0,0,0,0,0,0,0
01-06-2014 20:00,2014,6,1,20,Monday,0,0,0,0,0,0,0,0
01-06-2014 21:00,2014,6,1,21,Monday,0,0,0,0,0,0,0,0
01-06-2014 22:00,2014,6,1,22,Monday,0,0,0,0,0,0,0,0
01-06-2014 23:00,2014,6,1,23,Monday,0,0,0,0,0,0,0,0
01-07-2014 00:00,2014,7,1,0,Tuesday,0,0,0,0,0,0,0,0
01-07-2014 01:00,2014,7,1,1,Tuesday,0,0,0,0,0,0,0,0
01-07-2014 02:00,2014,7,1,2,Tuesday,0,0,0,0,0,0,0,0
01-07-2014 03:00,2014,7,1,3,Tuesday,0,0,0,0,0,0,0,0
01-07-2014 04:00,2014,7,1,4,Tuesday,0,0,0,0,0,0,0,0
01-07-2014 05:00,2014,7,1,5,Tuesday,0,0,0,0,0,0,0,0
01-07-2014 06:00,2014,7,1,6,Tuesday,0,0,0,0,0,0,0,0
01-07-2014 07:00,2014,7,1,7,Tuesday,0,0,0,0,0,0,0,0
01-07-2014 08:00,2014,7,1,8,Tuesday,0,0,0,0,0,0,0,0
01-07-2014 09:00,2014,7,1,9,Tuesday,0,0,0,0,0,0,0,0
01-07-2014 10:00,2014,7,1,10,Tuesday,0,0,0,0,0,0,0,0
01-07-2014 11:00,2014,7,1,11,Tuesday,0,0,0,0,0,0,0,0
01-07-2014 12:00,2014,7,1,12,Tuesday,0,0,0,0,0,0,0,0
01-07-2014 13:00,2014,7,1,13,Tuesday,0,0,0,0,0,0,0,0
01-07-2014 14:00,2014,7,1,14,Tuesday,0,0,0,0,0,0,0,0
01-07-2014 15:00,2014,7,1,15,Tuesday,0,0,0,0,0,0,0,0
01-07-2014 16:00,2014,7,1,16,Tuesday,0,0,0,0,0,0,0,0
01-07-2014 17:00,2014,7,1,17,Tuesday,0,0,0,0,0,0,0,0
01-07-2014 18:00,2014,7,1,18,Tuesday,0,0,0,0,0,0,0,0
01-07-2014 19:00,2014,7,1,19,Tuesday,0,0,0,0,0,0,0,0
01-07-2014 20:00,2014,7,1,20,Tuesday,0,0,0,0,0,0,0,0
01-07-2014 21:00,2014,7,1,21,Tuesday,0,0,0,0,0,0,0,0
01-07-2014 22:00,2014,7,1,22,Tuesday,0,0,0,0,0,0,0,0
01-07-2014 23:00,2014,7,1,23,Tuesday,0,0,0,0,0,0,0,0
01-08-2014 00:00,2014,8,1,0,Wednesday,0,0,0,0,0,0,0,0
01-08-2014 01:00,2014,8,1,1,Wednesday,0,0,0,0,0,0,0,0
01-08-2014 02:00,2014,8,1,2,Wednesday,0,0,0,0,0,0,0,0
01-08-2014 03:00,2014,8,1,3,Wednesday,0,0,0,0,0,0,0,0
01-08-2014 04:00,2014,8,1,4,Wednesday,0,0,0,0,0,0,0,0
01-08-2014 05:00,2014,8,1,5,Wednesday,0,0,0,0,0,0,0,0
01-08-2014 06:00,2014,8,1,6,Wednesday,0,0,0,0,0,0,0,0
01-08-2014 07:00,2014,8,1,7,Wednesday,0,0,0,0,0,0,0,0
01-08-2014 08:00,2014,8,1,8,Wednesday,1,0,0,1,2,0,2,0
01-08-2014 09:00,2014,8,1,9,Wednesday,0,0,2,1,3,0,0,0
01-08-2014 10:00,2014,8,1,10,Wednesday,0,0,2,0,2,0,0,0
01-08-2014 11:00,2014,8,1,11,Wednesday,1,1,0,0,2,0,0,0
01-08-2014 12:00,2014,8,1,12,Wednesday,0,0,1,2,2,0,0,0
01-08-2014 13:00,2014,8,1,13,Wednesday,0,1,2,2,0,0,5,0
01-08-2014 14:00,2014,8,1,14,Wednesday,0.33,0,0,10.2,2,0,0,0
01-08-2014 15:00,2014,8,1,15,Wednesday,1,0,0,2.4,1,1,0,0
01-08-2014 16:00,2014,8,1,16,Wednesday,1,0,1,0,0,0,0,0
01-08-2014 17:00,2014,8,1,17,Wednesday,0,0,0,0.8,0,0,0,0
01-08-2014 18:00,2014,8,1,18,Wednesday,1,1,1,6,3,0,0,0
01-08-2014 19:00,2014,8,1,19,Wednesday,0,0,1.5,0,2,0,0,0
01-08-2014 20:00,2014,8,1,20,Wednesday,0,0,0,1,0,0,1,0
01-08-2014 21:00,2014,8,1,21,Wednesday,0,0,0,0,0,0,2,0
01-08-2014 22:00,2014,8,1,22,Wednesday,0,0,0,0,0,0,0,0
01-08-2014 23:00,2014,8,1,23,Wednesday,0,0,0,0,0,0,0,0
01-09-2014 00:00,2014,9,1,0,Thursday,0,0,0,0,0,0,0,0
01-09-2014 01:00,2014,9,1,1,Thursday,0,0,0,0,0,0,0,0
01-09-2014 02:00,2014,9,1,2,Thursday,0,0,0,0,0,0,0,0
01-09-2014 03:00,2014,9,1,3,Thursday,0,0,0,0,0,0,0,0
01-09-2014 04:00,2014,9,1,4,Thursday,0,0,0,0,0,0,0,0
01-09-2014 05:00,2014,9,1,5,Thursday,0,0,0,0,0,0,0,0
01-09-2014 06:00,2014,9,1,6,Thursday,0,0,0,0,0,0,0,0
01-09-2014 07:00,2014,9,1,7,Thursday,0,0,0,0,1,0,0,0
01-09-2014 08:00,2014,9,1,8,Thursday,1,0,0,0,0,0,0,0
01-09-2014 09:00,2014,9,1,9,Thursday,0,0.34,0,5,1,0,0,0
01-09-2014 10:00,2014,9,1,10,Thursday,0,0.34,0,0,0,0,0,1
01-09-2014 11:00,2014,9,1,11,Thursday,1,1,0,5,1,0,0,0
01-09-2014 12:00,2014,9,1,12,Thursday,0,0,1,1,2,0,0,0
01-09-2014 13:00,2014,9,1,13,Thursday,1,0,2,0,3,0,1,1
01-09-2014 14:00,2014,9,1,14,Thursday,1,0,1,1,2,0,0,0
01-09-2014 15:00,2014,9,1,15,Thursday,0,0,2,1,3,0,0,0
01-09-2014 16:00,2014,9,1,16,Thursday,2,0,0,1,2,0,0,0
01-09-2014 17:00,2014,9,1,17,Thursday,0,0,1,2,1,0,0,0
01-09-2014 18:00,2014,9,1,18,Thursday,1,0,1,0,0,0,0,0
01-09-2014 19:00,2014,9,1,19,Thursday,0,0,0,6,0,0,2,0
01-09-2014 20:00,2014,9,1,20,Thursday,0,0,0,3,0,0,0,0
01-09-2014 21:00,2014,9,1,21,Thursday,0,0,0,0,0,0,0,0
01-09-2014 22:00,2014,9,1,22,Thursday,0,0,0,0,0,0,0,0
01-09-2014 23:00,2014,9,1,23,Thursday,0,0,0,0,0,0,0,0
01-10-2014 00:00,2014,10,1,0,Friday,0,0,0,0,0,0,0,0
01-10-2014 01:00,2014,10,1,1,Friday,0,0,0,0,0,0,0,0
01-10-2014 02:00,2014,10,1,2,Friday,0,0,0,0,0,0,0,0
01-10-2014 03:00,2014,10,1,3,Friday,0,0,0,0,0,0,0,0
01-10-2014 04:00,2014,10,1,4,Friday,0,0,0,0,0,0,0,0
01-10-2014 05:00,2014,10,1,5,Friday,0,0,0,0,0,0,0,0
01-10-2014 06:00,2014,10,1,6,Friday,0,0,0,0,0,0,0,0
01-10-2014 07:00,2014,10,1,7,Friday,0,0,0,0,0,0,0,0
01-10-2014 08:00,2014,10,1,8,Friday,0,0,0,0,4,0,0,0
01-10-2014 09:00,2014,10,1,9,Friday,1,0,1,0,3,0,0,0
01-10-2014 10:00,2014,10,1,10,Friday,1,0,0,0,1,0,0,1
01-10-2014 11:00,2014,10,1,11,Friday,0,0,0,0,2,1,0,0
01-10-2014 12:00,2014,10,1,12,Friday,0,0,0,10.3,1,1,0,0
01-10-2014 13:00,2014,10,1,13,Friday,2,0,0,12,2,0,0,1
01-10-2014 14:00,2014,10,1,14,Friday,0,0,0,10,0,0,0,0
01-10-2014 15:00,2014,10,1,15,Friday,0,1,0,1,1,0,0,0
01-10-2014 16:00,2014,10,1,16,Friday,0,0,0,0,0,0,0,0
01-10-2014 17:00,2014,10,1,17,Friday,0,0,0,12,1,0,0,0
01-10-2014 18:00,2014,10,1,18,Friday,1,1,0,1,0,0,0,0
01-10-2014 19:00,2014,10,1,19,Friday,0,0,0,2,0,0,0,0
01-10-2014 20:00,2014,10,1,20,Friday,0,0,1,5,0,0,0,0
01-10-2014 21:00,2014,10,1,21,Friday,0,0,0,0,0,0,0,0
01-10-2014 22:00,2014,10,1,22,Friday,0,0,0,0,0,0,0,0
01-10-2014 23:00,2014,10,1,23,Friday,0,0,0,0,0,0,0,0
01-11-2014 00:00,2014,11,1,0,Saturday,0,0,0,0,0,0,0,0
01-11-2014 01:00,2014,11,1,1,Saturday,0,0,0,0,0,0,0,0
01-11-2014 02:00,2014,11,1,2,Saturday,0,0,0,0,0,0,0,0
01-11-2014 03:00,2014,11,1,3,Saturday,0,0,0,0,0,0,0,0
01-11-2014 04:00,2014,11,1,4,Saturday,0,0,0,0,0,0,0,0
01-11-2014 05:00,2014,11,1,5,Saturday,0,0,0,0,0,0,0,0
01-11-2014 06:00,2014,11,1,6,Saturday,0,0,0,0,0,0,0,0
01-11-2014 07:00,2014,11,1,7,Saturday,0,0,0,0.3,0,0,0,0
01-11-2014 08:00,2014,11,1,8,Saturday,0,1,0,9,1,0,0,0
01-11-2014 09:00,2014,11,1,9,Saturday,0,0,1,2,0,0,0,0
01-11-2014 10:00,2014,11,1,10,Saturday,0,0,2,0,1,0,0,0
01-11-2014 11:00,2014,11,1,11,Saturday,0,0,0,2,1,0,0,0.2
01-11-2014 12:00,2014,11,1,12,Saturday,1,0,1,6,1,0,0,0
01-11-2014 13:00,2014,11,1,13,Saturday,1,0,0,2,1,0,0,0
01-11-2014 14:00,2014,11,1,14,Saturday,0,1,0,2,2,0,0,0
01-11-2014 15:00,2014,11,1,15,Saturday,1,1,0,0,3,0,0,0
01-11-2014 16:00,2014,11,1,16,Saturday,1,0,2,3,3,0,0,0
01-11-2014 17:00,2014,11,1,17,Saturday,0,1,1,4,0,0,0,0
01-11-2014 18:00,2014,11,1,18,Saturday,0,0.34,2.4,1,1,0,0,0
01-11-2014 19:00,2014,11,1,19,Saturday,1,0,0,16,0,0,0,0
01-11-2014 20:00,2014,11,1,20,Saturday,0,0,1,5,0,0,1,0
01-11-2014 21:00,2014,11,1,21,Saturday,0,0,0,0,0,0,0,0
01-11-2014 22:00,2014,11,1,22,Saturday,0,0,0,0,0,0,0,0
01-11-2014 23:00,2014,11,1,23,Saturday,0,0,0,0,0,0,0,0
01-12-2014 00:00,2014,12,1,0,Sunday,0,0,0,0,0,0,0,0
01-12-2014 01:00,2014,12,1,1,Sunday,0,0,0,0,0,0,0,0
01-12-2014 02:00,2014,12,1,2,Sunday,0,0,0,0,0,0,0,0
01-12-2014 03:00,2014,12,1,3,Sunday,0,0,0,0,0,0,0,0
01-12-2014 04:00,2014,12,1,4,Sunday,0,0,0,0,0,0,0,0
01-12-2014 05:00,2014,12,1,5,Sunday,0,0,0,0,0,0,0,0
01-12-2014 06:00,2014,12,1,6,Sunday,0,0,0,0,0,0,0,0
01-12-2014 07:00,2014,12,1,7,Sunday,0,0,0,0,0,0,0,0
01-12-2014 08:00,2014,12,1,8,Sunday,0,0,0,0,0,0,0,0
01-12-2014 09:00,2014,12,1,9,Sunday,0,0,1,0,1,0,0,0
01-12-2014 10:00,2014,12,1,10,Sunday,1,0,0,4,3,0,0,0
01-12-2014 11:00,2014,12,1,11,Sunday,0,0,0,0,1,0,0,0
01-12-2014 12:00,2014,12,1,12,Sunday,1,0.33,1.5,5,2,0,1,1
01-12-2014 13:00,2014,12,1,13,Sunday,0,0.33,0,3,1,0,0,0
01-12-2014 14:00,2014,12,1,14,Sunday,0,0,0,0,0,0,0,0
01-12-2014 15:00,2014,12,1,15,Sunday,0,0,0,0,0,0,0,0
01-12-2014 16:00,2014,12,1,16,Sunday,0,0,0,0,0,0,0,0
01-12-2014 17:00,2014,12,1,17,Sunday,0,0,0,0,0,0,0,0
01-12-2014 18:00,2014,12,1,18,Sunday,0,0,0,0,0,0,0,0
01-12-2014 19:00,2014,12,1,19,Sunday,0,0,0,0,0,0,0,0
01-12-2014 20:00,2014,12,1,20,Sunday,0,0,0,0,0,0,0,0
01-12-2014 21:00,2014,12,1,21,Sunday,0,0,0,0,0,0,0,0
01-12-2014 22:00,2014,12,1,22,Sunday,0,0,0,0,0,0,0,0
01-12-2014 23:00,2014,12,1,23,Sunday,0,0,0,0,0,0,0,0
1/13/2014 0:00,#VALUE!,#VALUE!,#VALUE!,0,Monday,0,0,0,0,0,0,0,0
1/13/2014 1:00,#VALUE!,#VALUE!,#VALUE!,1,Monday,0,0,0,0,0,0,0,0
1/13/2014 2:00,#VALUE!,#VALUE!,#VALUE!,2,Monday,0,0,0,0,0,0,0,0
1/13/2014 3:00,#VALUE!,#VALUE!,#VALUE!,3,Monday,0,0,0,0,0,0,0,0
1/13/2014 4:00,#VALUE!,#VALUE!,#VALUE!,4,Monday,0,0,0,0,0,0,0,0
1/13/2014 5:00,#VALUE!,#VALUE!,#VALUE!,5,Monday,0,0,0,0,0,0,0,0
1/13/2014 6:00,#VALUE!,#VALUE!,#VALUE!,6,Monday,0,0,0,0,0,0,0,0
1/13/2014 7:00,#VALUE!,#VALUE!,#VALUE!,7,Monday,0,0,0,1,0,0,0,0
1/13/2014 8:00,#VALUE!,#VALUE!,#VALUE!,8,Monday,0,1,0,1,1,0,0,0
1/13/2014 9:00,#VALUE!,#VALUE!,#VALUE!,9,Monday,0,2,0,5,0,0,0,0
1/13/2014 10:00,#VALUE!,#VALUE!,#VALUE!,10,Monday,0,1,1,17,1,0,0,0
1/13/2014 11:00,#VALUE!,#VALUE!,#VALUE!,11,Monday,1,0,0,10,1,0,0,0
1/13/2014 12:00,#VALUE!,#VALUE!,#VALUE!,12,Monday,1,0,0,0,3,0,0,0
1/13/2014 13:00,#VALUE!,#VALUE!,#VALUE!,13,Monday,1,0,2,1,1,0,0,0
1/13/2014 14:00,#VALUE!,#VALUE!,#VALUE!,14,Monday,0,0,1.2,3,0,0,0,0
1/13/2014 15:00,#VALUE!,#VALUE!,#VALUE!,15,Monday,1,0,1,1,1,0,0,0
1/13/2014 16:00,#VALUE!,#VALUE!,#VALUE!,16,Monday,1,0,0,5,1,0,5,0
1/13/2014 17:00,#VALUE!,#VALUE!,#VALUE!,17,Monday,0,0,1,2,0,0,0,0
1/13/2014 18:00,#VALUE!,#VALUE!,#VALUE!,18,Monday,0,1,0,1,0,0,2,0
1/13/2014 19:00,#VALUE!,#VALUE!,#VALUE!,19,Monday,1.34,2.34,0,2,0,0,0,0
1/13/2014 20:00,#VALUE!,#VALUE!,#VALUE!,20,Monday,0,0.32,0,3,0,0,0,0
1/13/2014 21:00,#VALUE!,#VALUE!,#VALUE!,21,Monday,1,0,0,0,0,0,0,1
1/13/2014 22:00,#VALUE!,#VALUE!,#VALUE!,22,Monday,0,0,0,0,0,0,0,0
1/13/2014 23:00,#VALUE!,#VALUE!,#VALUE!,23,Monday,0,0,0,0,0,0,0,0
1/14/2014 0:00,#VALUE!,#VALUE!,#VALUE!,0,Tuesday,0,0,0,0,0,0,0,0
1/14/2014 1:00,#VALUE!,#VALUE!,#VALUE!,1,Tuesday,0,0,0,0,0,0,0,0
1/14/2014 2:00,#VALUE!,#VALUE!,#VALUE!,2,Tuesday,0,0,0,0,0,0,0,0
1/14/2014 3:00,#VALUE!,#VALUE!,#VALUE!,3,Tuesday,0,0,0,0,0,0,0,0
1/14/2014 4:00,#VALUE!,#VALUE!,#VALUE!,4,Tuesday,0,0,0,0,0,0,0,0
1/14/2014 5:00,#VALUE!,#VALUE!,#VALUE!,5,Tuesday,0,0,0,0,0,0,0,0
1/14/2014 6:00,#VALUE!,#VALUE!,#VALUE!,6,Tuesday,0,0,0,0,0,0,0,0
1/14/2014 7:00,#VALUE!,#VALUE!,#VALUE!,7,Tuesday,0,0,0,0,0,0,0,0
1/14/2014 8:00,#VALUE!,#VALUE!,#VALUE!,8,Tuesday,0,0,0,2,0,0,0,0
1/14/2014 9:00,#VALUE!,#VALUE!,#VALUE!,9,Tuesday,2,0,0,3,1,0,0,0
1/14/2014 10:00,#VALUE!,#VALUE!,#VALUE!,10,Tuesday,0,0,0,3,1,0,0,0
1/14/2014 11:00,#VALUE!,#VALUE!,#VALUE!,11,Tuesday,1,0,0,9,0,0,0,0
1/14/2014 12:00,#VALUE!,#VALUE!,#VALUE!,12,Tuesday,0,0.66,4,0,2,0,0,0
1/14/2014 13:00,#VALUE!,#VALUE!,#VALUE!,13,Tuesday,0,0.67,3,0,2,0,0,1
1/14/2014 14:00,#VALUE!,#VALUE!,#VALUE!,14,Tuesday,0,0,1,5.5,0,0,0,0
1/14/2014 15:00,#VALUE!,#VALUE!,#VALUE!,15,Tuesday,1,0,1,1,0,1,0,0
1/14/2014 16:00,#VALUE!,#VALUE!,#VALUE!,16,Tuesday,0,0,1,2.2,0,0,0,0
1/14/2014 17:00,#VALUE!,#VALUE!,#VALUE!,17,Tuesday,0,0,0,0,0,0,0,1
1/14/2014 18:00,#VALUE!,#VALUE!,#VALUE!,18,Tuesday,0,0,1,1,0,0,0,0
1/14/2014 19:00,#VALUE!,#VALUE!,#VALUE!,19,Tuesday,0,0,0.3,3,0,0,0,0
1/14/2014 20:00,#VALUE!,#VALUE!,#VALUE!,20,Tuesday,2,0,1,3,0,0,0,0
1/14/2014 21:00,#VALUE!,#VALUE!,#VALUE!,21,Tuesday,0,0,0,1,0,0,0,0
1/14/2014 22:00,#VALUE!,#VALUE!,#VALUE!,22,Tuesday,0,0,0,0,0,0,0,0
1/14/2014 23:00,#VALUE!,#VALUE!,#VALUE!,23,Tuesday,0,0,0,0,0,0,0,0
1/15/2014 0:00,#VALUE!,#VALUE!,#VALUE!,0,Wednesday,0,0,0,0,0,0,0,0
1/15/2014 1:00,#VALUE!,#VALUE!,#VALUE!,1,Wednesday,0,0,0,0,0,0,0,0
1/15/2014 2:00,#VALUE!,#VALUE!,#VALUE!,2,Wednesday,0,0,0,0,0,0,0,0
1/15/2014 3:00,#VALUE!,#VALUE!,#VALUE!,3,Wednesday,0,0,0,0,0,0,0,0
1/15/2014 4:00,#VALUE!,#VALUE!,#VALUE!,4,Wednesday,0,0,0,0,0,0,0,0
1/15/2014 5:00,#VALUE!,#VALUE!,#VALUE!,5,Wednesday,0,0,0,0,0,0,0,0
1/15/2014 6:00,#VALUE!,#VALUE!,#VALUE!,6,Wednesday,0,0,0,0,0,0,0,0
1/15/2014 7:00,#VALUE!,#VALUE!,#VALUE!,7,Wednesday,0,1,0,0,0,0,0,0
1/15/2014 8:00,#VALUE!,#VALUE!,#VALUE!,8,Wednesday,0,0,0,0,0,0,0,1
